chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12
132.86,105.82,163.46,1.64,1.99,2.58,1.27,0.67,0.64,0.12918707305957375,0.1019457481305611,0.07877772308269695,0.20337710083179256,0.14486586634688584,0.12416422759157096,0.08200996985717406,0.13567229109974477,0.029886264032297584,0.034518192424664584,0.036815010116472334,0.049627367095625013
136.8,112.34,183.82,1.84,2.08,2.85,1.34,0.65,0.65,0.13509769688691092,0.1005978892013225,0.0733797378318063,0.20932519340638261,0.1433627712513374,0.12357658537035499,0.07921695466928996,0.13544317138259535,0.029304412931022154,0.03413926416593755,0.03567568534360476,0.05576231055136195
136.84,112.38,188.14,1.84,2.11,2.85,1.36,0.64,0.65,0.1355279615790503,0.09932941046907716,0.07361344063381559,0.20999186087720859,0.14302487407153852,0.12397015715348109,0.07946924807915862,0.1350730471366702,0.028603209238599187,0.034247992296206994,0.03576283860962239,0.05593990464759918
134.14,110.3,179.74,1.8,2.06,2.81,1.33,0.64,0.64,0.13435039515335823,0.10135622611125575,0.07447536336441533,0.2092625236532413,0.14313248497210754,0.12385068698498577,0.07895041497605935,0.13462190478457683,0.030173875210336185,0.034077470290462195,0.03643738939251686,0.05538771103169533
136.02,111.3,181.18,1.82,2.07,2.82,1.34,0.65,0.65,0.1346337419591163,0.10068789442289082,0.07411355836135063,0.20873188579314797,0.1432823799254622,0.12398038914834984,0.079807263324653,0.1347628870650293,0.02866694028194846,0.034113157792294006,0.03643441200764862,0.056368443731841814
138.36,114.3,180.92,1.79,2.1,2.79,1.35,0.65,0.64,0.1342470616800128,0.09942339579074555,0.07496872233587967,0.20891969578282224,0.1436955908505355,0.12433611877606923,0.0792598605050394,0.13514955427889547,0.02873869832367317,0.03503005698068331,0.0357629470693024,0.05653017838714973
136.78,112.62,181.56,1.71,2.15,2.76,1.33,0.64,0.62,0.1308822935497437,0.09821044150902189,0.07648375361073773,0.21117775608089612,0.14299846058394017,0.12495920796297656,0.08015255950949705,0.1351355271931868,0.02907997554919023,0.03705943220382575,0.03538952853747283,0.057013037655056546
136.02,111.96,178.88,1.78,2.1,2.79,1.34,0.64,0.64,0.13404962357742553,0.09990791542986639,0.07533406711215328,0.20985075221434848,0.14362172928753375,0.1241398410761702,0.07884663788358173,0.13424943341892068,0.02965925727835121,0.035200768817989544,0.035911794209360096,0.056639198896534335
140.26,115.28,178.6,1.78,2.1,2.78,1.34,0.65,0.64,0.13337553368587463,0.09925682680518837,0.0749979581451381,0.20852422340027194,0.14380283232829144,0.12432399438232479,0.07973093277910857,0.13598769847380224,0.029697972435102866,0.03524671748318292,0.03520336890266445,0.05579019930132164
139.14,114.3,182.62,1.81,2.1,2.83,1.34,0.65,0.64,0.13425428180821605,0.10000697325532695,0.07404374133856212,0.20972651242948293,0.14331480041004416,0.12445413100918333,0.07875895429296585,0.1354406054562186,0.02992241874590656,0.03394188475516996,0.03625609533665382,0.05621184102920551
139.14,113.64,184.8,1.85,2.1,2.86,1.36,0.64,0.65,0.13569778088153991,0.09993836037400272,0.0733149049385259,0.20953066901300818,0.14318097250331666,0.1243379152674114,0.07947194991124558,0.13452744711094972,0.029118409408759205,0.03391018969384919,0.0362222392566737,0.05601037882424677
